VPS 3.5 - List (VPX tables Only) -- Last updated: 09-02-2020	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Batman 66 (Original 2018)	Retheme of JPSalas's Flash (Williams 1979)	SS	VPX	Luvthecubs, JPSalas, Onevox	1.2	20-09-2018		FALSE	
Batman Returns (Original 2018)	Retheme of Electric Mayhem (Original 2016)	SS	VPX	Ivantba, Lodger	1.0	27-12-2018		FALSE	
Batman The Dark Knight (Stern 2008)		SS	VPX	Tom Tower, Ninuzzu, DJRobX	1.2	10-03-2019	bdk_294	FALSE	
Batter Up (Gottlieb 1970)		EM	VPX	Loserman76, GNance	1.0	20-01-2019		FALSE	
Battlestar Galactica (Original 1980)	MOD of Scorpion (Williams 1980)	SS	VPX	Xenonph, Allknowing2012, John90803, Wolis, Drybonz, Thalamus, HauntFreaks, Flupper, Gtxjoe, DjRobX, Stat, nFozzy, Slydog43, JPSalas	1.3	05-11-2018	scrpn_l1	FALSE	
Beach Bums (Original 1986)	MOD of Hollywood Heat (Gottlieb 1986)	SS	VPX	Watacaractr, BorgDog, Xenonph, HauntFreaks, Flupper	1.0	22-07-2018	hlywoodh	FALSE	
Beat Time (Williams 1967)		EM	VPX	Loserman76, Hauntfreaks, GNance, JPSalas, Pinuck, BorgDog, Arngrim	1.0a	25-12-2017		FALSE	
Beat Time (Williams 1967)	Beatles MOD	EM	VPX	Loserman76, HauntFreaks, GNance, JPSalas, BorgDog, Arngrim	1.0a	25-12-2017		FALSE	
Bell Ringer (Gottlieb 1990)	VP8 to VPX Conversion	SS	VPX	Rascal, Destruk	1.1	25-01-2019	bellring	FALSE	
Berzerk The Pinball Game (Original 2016)		SS	VPX	Lodger	2.0	27-02-2016		FALSE	
Beverly Hills Cop (Original 2019)	Retheme of JPSalas's Faeton (Juegos Populares 1985)	SS	VPX	Ivantba, JPSalas	1.0	10-12-2019	faeton	FALSE	
Big Bang Bar (Capcom 1996)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Randr, UncleWilly	1.0 FSS Rev. R2.5	14-11-2018	bbb109	FALSE	
Big Bang Bar (Capcom 1996)		SS	VPX	Randr, UncleWilly, Ninuzzu	1.0	25-03-2016	bbb109	FALSE	
Big Ben (Williams 1975)		EM	VPX	Hsm, Roccodimarco, Dboyrecords, Stat, MajikBubble	1.0	26-11-2019		FALSE	
