VPS 3.5 - List (VPX tables Only) -- Last updated: 0	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Asteroid Annie and the Aliens (Gottlieb 1980)	EB (new Playfield) MOD	SS	VPX	EBisLit, BorgDog, HauntFreaks	EBisLit, BorgDog, HauntFreaks	1.0	astannie	FALSE	
Asteroids (Original 2016)		SS	VPX	TheGhost787	TheGhost787	1.0		FALSE	
Astral Defender (Original 2018)		SS	VPX	Ronimhoff	Ronimhoff	1.0		FALSE	
Astro (Gottlieb 1971)		EM	VPX	BorgDog	BorgDog	1.2		FALSE	
Atlantis (Bally 1989)		SS	VPX	Herweh, Schreibi34, 32assassin, OldSkoolGamer, Cosmic80, ICPjugglah, DCrosby, Bord, Rosve, Vogliadicane, Flupper, Ninuzzu, Dark, nFozzy, DJRobX, Rothbauerw, Thalamus	Herweh, Schreibi34, 32assassin, OldSkoolGamer, Cosmic80, ICPjugglah, DCrosby, Bord, Rosve, Vogliadicane, Flupper, Ninuzzu, Dark, nFozzy, DJRobX, Rothbauerw, Thalamus	1.1	atlantis	FALSE	
Atlantis (Bally 1989)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, Herweh, Arconovum	Morttis, Herweh, Arconovum	1.1 - rev.2.0 [D&N][CC][FSS][SS][10.6+]	atlantis	FALSE	
Atlantis (Gottlieb 1975)		EM	VPX	Loserman76, Bodydump, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	Loserman76, Bodydump, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0c		FALSE	
Atlantis (LTD 1978)		SS	VPX	Mfuegemann, CarlosGuizzo	Mfuegemann, CarlosGuizzo	1.0	atla_ltd	FALSE	
Atleta (Inder 1991)		SS	VPX	Hmueck	Hmueck	1.0	atleta	FALSE	
Attack and Revenge from Mars (Original 2015)		SS	VPX	JPSalas	JPSalas	2.0.2	afm_113	FALSE	
Attack from Mars (Bally 1995)	Cyberpez Version - MOD of Dozer's Version	SS	VPX	Cyberpez, JPSalas, Dozer, Wrd1972, Rothbauerw, HauntFreaks, ClarkKent, Randr, Flupper, DJRobX, RustyCarcores, nFozzy, The Loafer, Arngrim, TheMotherBrain	Cyberpez, JPSalas, Dozer, Wrd1972, Rothbauerw, HauntFreaks, ClarkKent, Randr, Flupper, DJRobX, RustyCarcores, nFozzy, The Loafer, Arngrim, TheMotherBrain	1.0	afm_113b	FALSE	
Attack from Mars (Bally 1995)	Bigus MOD	SS	VPX	Bigus1, JPSalas, Arngrim	Bigus1, JPSalas, Arngrim	2.0	afm_113b	FALSE	
Attack from Mars (Bally 1995)	Graphics Remaster MOD	SS	VPX	Brad1X, JPSalas	Brad1X, JPSalas	2.0.1 GR	afm_113b	FALSE	
Attack from Mars (Bally 1995)	Groni Version	SS	VPX	Groni	Groni	1.0	afm_113b	FALSE	
Attack from Mars (Bally 1995)	dB2SDeskTop ColorDMD MOD	SS	VPX	Xenonph, Dozer, JPSalas, Cyberpez, ICPJuggla, HauntFreaks	Xenonph, Dozer, JPSalas, Cyberpez, ICPJuggla, HauntFreaks	1.0	afm_113b	FALSE	
Attack from Mars (Bally 1995)	G5k Version	SS	VPX	G5k, DJRobX, Tom Tower, JimmyFingers, Arrie, Virriguy, CK, Peter Docter	G5k, DJRobX, Tom Tower, JimmyFingers, Arrie, Virriguy, CK, Peter Docter	1.1	afm_113b	FALSE	
Attack from Mars (Bally 1995)	Dozer Version	SS	VPX	Dozer, ICP Juggla, Hauntfreaks	Dozer, ICP Juggla, Hauntfreaks	1.0	afm_113b	FALSE	
Attack from Mars (Bally 1995)	JPSalas Version	SS	VPX	JPSalas, Arngrim	JPSalas, Arngrim	2.0.1	afm_113b	FALSE	
Attack from Mars (Bally 1995)	JPSalas Version, Wed21 PMD MOD	SS	VPX	JP Salas, Wed21	JP Salas, Wed21	?	afm_113b	FALSE	
Attila the Hun (Game Plan 1984)		SS	VPX	Hsm, Xenonph, Dboyrecords, Destruk	Hsm, Xenonph, Dboyrecords, Destruk	1.0a	attila	FALSE	
