Table Name (Manufacturer Year)	Manufacturer	Year	Theme	Player(s)	IPDB Number	Description(s)	Type	VP Version	Table URL	Table Author(s)	Table Version	Table Date
Attack from Mars - [VR] (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		Battle Edition - VR Version, VPVR, Minimal VR Room 	SS	VR	https://vpinball.com/VPBdownloads/	UncleWilly, Walter, JPSalas, 	Beta 2	2020-09-30
Attack from Mars - [VR] (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Rawd, G5k, DJRobX, Tom Tower, 3rdaxis, Steely, Randy Davis, Caligula, Walter	1.2.4	2020-03-15
Attila the Hun (Game Plan 1984)	Game Plan	1984	Historical	4	109		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Hsm, Xenonph, Dboyrecords, Destruk	1.0a	2018-05-07
Attila the Hun (Game Plan 1984)	Game Plan	1984	Historical	4	109		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Xenonph, Dboyrecords, Kristian, Destruk	1.0	2016-12-05
Austin Powers (Stern 2001)	Stern	2001	Spies - Licensed Theme	4	4504		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Javier1515, 32assassin, Dstruct, Francisco666, Rom, ClarkKent, Ninuzzu	1.01	2017-06-08
Austin Powers (Stern 2001)	Stern	2001	Spies - Licensed Theme	4	4504		SS	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Javier15, Francisco666, Rom, JP, JimmyFingers, Koadic, Zany, Dark, Destruk, Makuste, Toxi, Fuzzel	1.0	2014-12-30
Austin Powers - [VR] (Stern 2001)	Stern	2001	Spies - Licensed Theme	4	4504	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Senseless, Javier1515,DJRobX, BambiPlattfuss, Caligula, 32assassin, Dstruct, Francisco666, Rom, Clarkkent	1.0	2020-07-29
Avatar, James Cameron's (Stern 2010)	Stern	2010	Fantasy - Licensed Theme	4	5618	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Frenaticamnesic, 85vett, Hauntfreaks, 32assassin	2.0	2020-08-18
Avatar, James Cameron's (Stern 2010)	Stern	2010	Fantasy - Licensed Theme	4	5618	DZ MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Dazzlaa, Thalamus, 85vett, Freneticamnesic, Xenonph, TerryRed, Crabtree, Rob Ross, G5k	1.0	2018-09-15
Avatar, James Cameron's (Stern 2010)	Stern	2010	Fantasy - Licensed Theme	4	5618	MOD 	SS	VPX	https://vpinball.com/VPBdownloads/	Thalamus, HauntFreaks, GtxJoe, 85vett, Freneticamnesic, 32assassin, Carney	1.19	2020-04-07
Avatar, James Cameron's (Stern 2010)	Stern	2010	Fantasy - Licensed Theme	4	5618	Real MOD	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Neogr45, 85vett, Freneticamnesic, Francisco666, Lacarril, Arngrim	1.0.5	2017-11-07
Avatar, James Cameron's (Stern 2010)	Stern	2010	Fantasy - Licensed Theme	4	5618	Future Pinball to Visual Pinball conversion	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Freneticamnesic	080116a	2016-08-02
Avatar, James Cameron's (Stern 2010)	Stern	2010	Fantasy - Licensed Theme	4	5618	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, Freneticamnesic, Arconovum	080116a mod 1.19 - Rev.1 [FSS]	2020-06-29
Avatar, James Cameron's - [VR] (Stern 2010)	Stern	2010	Fantasy - Licensed Theme	4	5618	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Pattyg234, Thalamus, Sixtoe, Arvid	080116a mod 1.19	2020-06-28
Aztec (Williams 1976)	Williams	1976	Historical - World Places	4	119	Sound and Reflecting MOD	EM	VPX	https://vpinball.com/VPBdownloads/	JPJ, Team PP, Arngrim, Chucky87, Leon Spalding, Ced, Ninuzzu	1.3	2019-02-22
Baby Pac-Man (Bally 1982)	Bally	1982	-	2	125		SS	VPX	https://www.vpforums.org/index.php?app=downloads	32assassin, UncleWilly, Gangafarmer, HauntFreaks, Kristian, DarthMarino	1.1	2018-01-04
Baby Pac-Man (Bally 1982)	Bally	1982	-	2	125		SS	VP9	https://www.vpforums.org/index.php?app=downloads	UncleWilly	1.0.0	2009-10-15
Back to the Future (Data East 1990)	Data East	1990	Licensed Theme - Science Fiction - Time Travel	4	126	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, JPSalas, Cyberpez, Wrd1972, Rothbauerw, ClarkKent, Dark, Zany, Flupper, nFozzy, Evileye, Wrd1972	1.0 FSS Rev. R2.5	2018-11-16
Back to the Future (Data East 1990)	Data East	1990	Licensed Theme - Science Fiction - Time Travel	4	126	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Cyberpez	1.1	2020-03-02
Back to the Future (Data East 1990)	Data East	1990	Licensed Theme - Science Fiction - Time Travel	4	126	Surround Sound MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Cyberpez, Wrd1972, Rothbauerw, JPSalas, ClarkKent, HauntFreaks, Dark, Zany, Flupper, nFozzy, Evileye, RustyCardores	1.4	2018-10-01
Back to the Future (Data East 1990)	Data East	1990	Licensed Theme - Science Fiction - Time Travel	4	126		SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.0.0	2011-03-05
Back to the Future (Data East 1990)	Data East	1990	Licensed Theme - Science Fiction - Time Travel	4	126	Night MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	LoadedWeapon, JPSalas	1.1	2016-10-11
Back to the Future (Data East 1990)	Data East	1990	Licensed Theme - Science Fiction - Time Travel	4	126	Night MOD	SS	PM5	Not Available	LoadedWeapon, JPSalas, unknown	Beta	
Back to the Future (Data East 1990)	Data East	1990	Licensed Theme - Science Fiction - Time Travel	4	126	Graphics MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Delta6014, Cyberpez	BTTF 1.4 PF Mod	2019-04-12
Back to the Future - [VR] (Data East 1990)	Data East	1990	Licensed Theme - Science Fiction - Time Travel	4	126	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Senseless, Cyberpez, HauntFreaks, Stuzza, 3rdaxis, Caligula	1.0	2020-01-17
Bad Brains (Original 2013)	Original	2013	-				SS	VP9	https://www.vpforums.org/index.php?app=downloads	Seraph, Destruk, Shooby Doo	1.0	2013-11-16
Bad Cats (Williams 1989)	Williams	1989	Feline Mischief	4	127	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, UncleWilly, ClarkKent, Dark	1.2 FSS Rev. R2.5	2018-11-13
Bad Cats (Williams 1989)	Williams	1989	Feline Mischief	4	127		SS	VPX	https://www.vpforums.org/index.php?app=downloads	UncleWilly, Nunzio, Knorr, ClarkKent	1.2.1a	2018-11-26
Bad Cats (Williams 1989)	Williams	1989	Feline Mischief	4	127	Graphics Remaster MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Brad1X, UncleWilly, ClarkKent, Dark	1.2.1b	2020-06-27
Bad Cats (Williams 1989)	Williams	1989	Feline Mischief	4	127	Night MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	LoadedWeapon, JPSalas	1.1	2015-01-04
Bad Cats - [VR] (Williams 1989)	Williams	1989	Feline Mischief	4	127	VR Version, VPVR, VR Room	SS	VR	https://www.vpforums.org/index.php?app=downloads	UncleWilly, Brad	1.0	2020-07-01
Bad Girls (Gottlieb 1988)	Gottlieb	1988	Billiards	4	128		SS	VPX	https://vpinball.com/VPBdownloads/	32assassin, Bodydump, JPSalas	1.0.2	2018-07-22
Bad Girls (Gottlieb 1988)	Gottlieb	1988	Billiards	4	128	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, 32assassin, Bodydump, JPSalas, Arconovum	1.0.2 - Rev. 1.0 [FSS]	2020-07-10
Bad Girls (Gottlieb 1988)	Gottlieb	1988	Billiards	4	128		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Bodydump, Koadic	1.0	2014-01-29
Bad Santa Pinball (Original 2018)	Original	2018					SS	VPX	https://www.vpforums.org/index.php?app=downloads	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01	2019-11-23
Bad Santa Pinball 2 XL (Original 2018)	Original	2018					SS	VPX	https://www.vpforums.org/index.php?app=downloads	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01	2019-11-23
Bad Santa Pinball XL (Original 2018)	Original	2018					SS	VPX	https://www.vpforums.org/index.php?app=downloads	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01	2019-11-23
Balls-A-Poppin (Bally 1956)	Bally	1956	Happiness - Circus - Carnival	2	144		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76	1.0	2019-03-05
Bally Hoo (Bally 1969)	Bally	1969	Circus - Carnival - Music	4	151		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Albert, -=Kees=_	1.0	2020-03-13
Bally Hoo (Bally 1969)	Bally	1969	Circus - Carnival - Music	4	151		EM	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	-=Kees=-, Leon Spalding	1.00	2019-08-02
Band Wagon (Bally 1965)	Bally	1965	Circus - Carnival	4	163		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, Kees, CryptDoctor21	1.0	2016-09-10
Bank Shot (Gottlieb 1976)	Gottlieb	1976	Billiards	1	169		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0	2018-04-23
Bank-A-Ball (Gottlieb 1965)	Gottlieb	1965	Billiards	1	170		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0	2019-03-27
Bank-A-Ball (Gottlieb 1965)	Gottlieb	1965	Billiards	1	170		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Allknowing2012, Leon, Leorato, Rlewis19	1.6	2015-11-10
Banzai Run (Williams 1988)	Williams	1988	Sports - Motorcycles - Motocross	4	175	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, Flupper, HauntFreaks	1.0 FSS Rev. R2.5	2018-11-19
Banzai Run (Williams 1988)	Williams	1988	Sports - Motorcycles - Motocross	4	175		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Groni	1.0	2011-11-16
Barb Wire (Gottlieb 1996)	Gottlieb	1996	Celebrities - Fictional - Licensed Theme	4	3795		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Tab, Destruk, Rascal	1.0	2019-10-30
Barb Wire (Gottlieb 1996)	Gottlieb	1996	Celebrities - Fictional - Licensed Theme	4	3795	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Tab, Destruk, Rascal	1.0	2019-08-26
Barb Wire (Gottlieb 1996)	Gottlieb	1996	Celebrities - Fictional - Licensed Theme	4	3795	VP9 to VPX Conversion	SS	VPX	https://vpinball.com/VPBdownloads/	Rascal, Tab, Destruk, Arngrim, Thalamus	1.4	2019-04-02
Barb Wire (Gottlieb 1996)	Gottlieb	1996	Celebrities - Fictional - Licensed Theme	4	3795		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords	1.2	2016-02-12
Barbarella (Automaticos 1967)	Automaticos	1967	Fantasy - Outer Space - Science Fiction	1	5809		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, Akiles50000, JPSalas	1.0a	2019-11-05
Barbarella (Automaticos 1967)	Automaticos	1967	Fantasy - Outer Space - Science Fiction	1	5809		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Akiles50000	1.0	2014-06-29
Barracora (Williams 1981)	Williams	1981	Fantasy	4	177		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Dids666	1.4	2020-06-24
Barracora (Williams 1981)	Williams	1981	Fantasy	4	177		SS	VPX	https://vpinball.com/VPBdownloads/	Dids666, Gtxjoe, JPSalas, DJRobX	1.2	2018-01-29
Barracora (Williams 1981)	Williams	1981	Fantasy	4	177		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Gtxjoe	1.1.1	2014-05-31
Bart vs. the Space Mutants (Original 2017)	Original	2017	-				SS	VPX	https://www.vpforums.org/index.php?app=downloads	TheGhost787	1.1	2017-01-01
Baseball (Gottlieb 1970)	Gottlieb	1970	Sports - Baseball	1	185		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0	2019-01-20
Baseball (Gottlieb 1970)	Gottlieb	1970	Sports - Baseball	1	185		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Herweh, Sabbat, Pinuck, TheWool, LuvThatApex	1.0	2013-03-03
Basketball (ISDA 1986)	ISDA	1986	Sports - Basketball	4	5023		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Mfuegemann	1.1	2015-08-28
Basketball (ISDA 1986)	ISDA	1986	Sports - Basketball	4	5023		SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, 32assassin, Mfuegemann, Arngrim, MovieGuru	1.1	2020-09-23
Batman (Data East 1991)	Data East	1991	Celebrities - Fictional - Licensed Theme	4	195	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, Javier1515	1.2 FSS Rev. R2.5	2018-11-18
Batman (Data East 1991)	Data East	1991	Celebrities - Fictional - Licensed Theme	4	195		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Javier, Dark, Ben Logan	1.3	2017-05-12
Batman (Data East 1991)	Data East	1991	Celebrities - Fictional - Licensed Theme	4	195	Surround MOD	SS	VPX	See Spreadsheet	Javier1515, RustyCardores	1.3	
Batman (Data East 1991)	Data East	1991	Celebrities - Fictional - Licensed Theme	4	195	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Javier1515, Dark	1.0	2020-07-26
Batman - [VR] (Data East 1991)	Data East	1991	Celebrities - Fictional - Licensed Theme	4	195	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Senseless, Javier, Dark, Ben Logan, Caligula	1.0	2020-05-12
Batman - The Animated Series (Original 2020)	Original	2020				Read Installation Instructions!	EM	VPX	https://vpinball.com/VPBdownloads/	Dunriwikan45, John Memeo	4.0	2020-03-08
Batman 66 (Original 2018)	Original	2018		4	871	Retheme of JPSalas's Flash (Williams 1979)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Luvthecubs, JPSalas, Onevox	1.2	2018-09-20
Batman Forever (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	3593	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Mfuegemann, DevaL	1.4	2020-09-05
Batman Forever (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	3593	MOD (Graphics MOD)	SS	VPX	https://vpinball.com/VPBdownloads/	Sheltemke, Bigus1, Mike, Mfuegemann, Deval, JPSalas	1.0	2020-10-01
Batman Forever (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	3593		SS	VPX	https://www.vpforums.org/index.php?app=downloads	DevaL, Mfuegemann	1.5	2020-03-25
Batman Forever (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	3593		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Mfuegemann	1.2	2015-01-11
Batman Forever - [VR] (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	3593	VR Version, VPVR, Minimal VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Sixtoe, Mfuegemann, Deval, Bigus1	1.0	2020-06-30
Batman Returns (Original 2018)	Original	2018				Retheme of Electric Mayhem (Original 2016)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, Lodger	1.0	2018-12-27
Batman The Dark Knight (Stern 2008)	Stern	2008	Licensed Theme - Movie - Superhero	4	5307	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Tom Tower, Ninuzzu, Vogliadicane	1.2	2020-07-03
Batman The Dark Knight (Stern 2008)	Stern	2008	Licensed Theme - Movie - Superhero	4	5307		SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Tom Tower, Ninuzzu, DJRobX	1.2	2019-03-10
Batman The Dark Knight (Stern 2008)	Stern	2008	Licensed Theme - Movie - Superhero	4	5307		SS	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	85vett	2.0	2014-12-30
Batman The Dark Knight - [VR] (Stern 2008)	Stern	2008	Licensed Theme - Movie - Superhero	4	5307	VR Version, VPVR, Minimal VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Sixtoe, Tom Tower, Ninuzzu	1.01	2020-06-17
Batter Up (Gottlieb 1970)	Gottlieb	1970	Sports - Baseball	1	197		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0	2019-01-20
Battlestar Galactica (Original 1980)	Original	1980	-	4	2067	MOD of Scorpion (Williams 1980)	SS	VPX	https://vpinball.com/VPBdownloads/	Xenonph, Allknowing2012, John90803, Wolis, Drybonz, Thalamus, HauntFreaks, Flupper, Gtxjoe, DJRobX, Stat, nFozzy, Slydog43, JPSalas	1.3	2018-11-05
Baywatch (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	2848		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Kiwi, Bmiki75, Akiles50000, Rampa, Noah Fentz, Vodweb, JPSalas, Ninuzzu, Arngrim, DJRobX, Rothbauerw, Cyberpez, Flupper, Suds	1.0.0	2020-04-06
Baywatch (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	2848	HD Graphics Film MOD + Video PuP Pack	SS	VP9	https://vpinball.com/VPBdownloads/	Djchiccomix	1.0	2020-04-22
Baywatch (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	2848	Night MOD Original	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Bmiki75, LoadedWeapon, Dark, Zany, Javier1515 , Dboy, Shoopity	1.0	2015-07-15
Baywatch (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	2848	Night MOD Color	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Bmiki75, LoadedWeapon, Dark, Zany, Javier1515 , Dboy, Shoopity	1.0	2015-07-15
Baywatch - [VR] (Sega 1995)	Sega	1995	Celebrities - Fictional - Licensed Theme	6	2848	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Senseless, Kiwi, Caligula	1.0.1	2020-05-03
Beach Bums (Original 1986)	Original	1986	Fictional	4	1219	MOD of Hollywood Heat (Gottlieb 1986)	SS	VPX	https://vpinball.com/VPBdownloads/	Watacaractr, BorgDog, Xenonph, HauntFreaks, Flupper	1.0	2018-07-22
Beat the Clock (Bally 1985)	Bally	1985	-	4	212		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk	1.1	2016-02-23
Beat Time (Williams 1967)	Williams	1967	Happiness - Music	2	213		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, Hauntfreaks, GNance, JPSalas, Pinuck, BorgDog, Arngrim	1.0a	2017-12-25
Beat Time (Williams 1967)	Williams	1967	Happiness - Music	2	213	Beatles MOD	EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, HauntFreaks, GNance, JPSalas, BorgDog, Arngrim	1.0a	2017-12-25
Beat Time (Williams 1967)	Williams	1967	Happiness - Music	2	213		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Loserman76, Hauntfreaks	1.0	2015-07-04
Beat Time (Williams 1967)	Williams	1967	Happiness - Music	2	213	Beatles MOD	EM	VP9	https://www.vpforums.org/index.php?app=downloads	Loserman76, Hauntfreaks	1.0	2015-07-04
Beatles, The (Original 2013)	Original	2013	Music				SS	VP9	https://www.vpforums.org/index.php?app=downloads	Bob5453	2013.8.27	2013-08-28
Bell Ringer (Gottlieb 1990)	Gottlieb	1990	Sports - Motorcycles - Motocross	4	3602	VP8 to VPX Conversion	SS	VPX	https://vpinball.com/VPBdownloads/	Rascal, Destruk	1.1	2019-01-25
Bell Ringer (Gottlieb 1990)	Gottlieb	1990	Sports - Motorcycles - Motocross	4	3602		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Destruk	1.1.0	2009-07-23
Berzerk The Pinball Game (Original 2016)	Original	2016	-				SS	VPX	https://www.vpforums.org/index.php?app=downloads	Lodger	2.0	2016-02-27
Beverly Hills Cop (Original 2019)	Original	2019		4		Retheme of JPSalas's Faeton (Juegos Populares 1985)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, JPSalas	1.0	2019-12-10
Big Bang Bar (Capcom 1996)	Capcom	1996	Outer Space	4	4001	Graphical Update MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Sheltemke, UncleWilly, Bigus1, Schreibi34, Ninuzzu, JimmyFingers, Grizz, Rom	1.0	2020-05-15
Big Bang Bar (Capcom 1996)	Capcom	1996	Outer Space	4	4001	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Ninuzzu, UncleWilly, JimmyFingers, Grizz, Rom, Thalamus, Zigbane	1.1	2020-03-05
Big Bang Bar (Capcom 1996)	Capcom	1996	Outer Space	4	4001	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, Randr, UncleWilly	1.0 FSS Rev. R2.5	2018-11-14
Big Bang Bar (Capcom 1996)	Capcom	1996	Outer Space	4	4001		SS	VPX	https://vpinball.com/VPBdownloads/	Randr, UncleWilly, Ninuzzu	1.0	2016-03-25
Big Bang Bar (Capcom 1996)	Capcom	1996	Outer Space	4	4001	MOD	SS	VPX	https://vpinball.com/VPBdownloads/	UncleWilly, ClarkKent, Ninuzzu, Flupper	2.4.6	2020-07-24
Big Bang Bar - [VR] (Capcom 1996)	Capcom	1996	Outer Space	4	4001	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	UncleWilly, Bigus1, Ninuzzu	1.0	2020-05-13
Big Ben (Williams 1975)	Williams	1975	World Places - Landmarks	1	232		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Hsm, Roccodimarco, Dboyrecords, Stat, MajikBubble	1.0	2019-11-26
Big Ben (Williams 1975)	Williams	1975	World Places - Landmarks	1	232		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Stat, MajikBubble	1.0	2016-05-12
Big Brave (Gottlieb 1974)	Gottlieb	1974	American West	2	234		EM	VPX	https://vpinball.com/VPBdownloads/	HauntFreaks, Carlos Guizzo, Loserman76, BorgDog	1.0	2018-06-17
Big Brave (Gottlieb 1974)	Gottlieb	1974	American West	2	234		EM	VP9	https://www.vpforums.org/index.php?app=downloads	HauntFreaks, JPSalas, Akiles50000, Htamas, Conram29, Bent98	2.1	2015-08-12
Big Brave (Gottlieb 1974)	Gottlieb	1974	American West	4	234	4 Player Version	EM	VP9	https://www.vpforums.org/index.php?app=downloads	HauntFreaks, JPSalas, Akiles50000, Htamas, Conram29, Bent98, Loserman76	2.1	2015-08-05
Big Brave (Maresa 1974)	Maresa	1974	American West	2	4634		EM	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Akiles50000, Elo_rey, Frmi, Popotte	1.0.0	2020-05-31
Big Buck Hunter Pro (Stern 2010)	Stern	2010	Hunting - Licensed Theme - Animals	4	5513		SS	VPX	https://vpinball.com/VPBdownloads/	32assassin, 85vette, Asotte, GtxJoe, Kanario40, Dark, JPSalas	2.0.1	2019-03-10
Big Buck Hunter Pro (Stern 2010)	Stern	2010	Hunting - Licensed Theme - Animals	4	5513		SS	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	85vett, Asot, Gtxjoe, Kanario40, Dark	2.0	2014-10-03
Big Casino (Gottlieb 1961)	Gottlieb	1961	Playing Cards	1	239		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim, Chris Aguilar	1.0	2018-04-24
