This is the complete list of games supported by PinMAME 3.2 [MAME 0.76] (Oct  5 2019).

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Elvira and the Party Monsters (LF|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_f1 |
| Elvis (3.03 Italian)             |  Yes  |  Yes  |  Yes  |  Yes  | elv303i  |
| Elvis (3.02 French)              |  Yes  |  Yes  |  Yes  |  Yes  | elv302f  |
| Elvis (3.02 Spanish)             |  Yes  |  Yes  |  Yes  |  Yes  | elv302l  |
| Elvis (3.02 German)              |  Yes  |  Yes  |  Yes  |  Yes  | elv302g  |
| Elvis (3.02)                     |  Yes  |  Yes  |  Yes  |  Yes  | elv302   |
| Elvis (5.00)                     |  Yes  |  Yes  |  Yes  |  Yes  | elvis    |
| Elvis (3.02 Italian)             |  Yes  |  Yes  |  Yes  |  Yes  | elv302i  |
| Elvis (3.03 French)              |  Yes  |  Yes  |  Yes  |  Yes  | elv303f  |
| Elvis (3.03 Spanish)             |  Yes  |  Yes  |  Yes  |  Yes  | elv303l  |
| Elvis (5.00 German)              |  Yes  |  Yes  |  Yes  |  Yes  | elvisg   |
| Elvis (3.03 German)              |  Yes  |  Yes  |  Yes  |  Yes  | elv303g  |
| Elvis (3.03)                     |  Yes  |  Yes  |  Yes  |  Yes  | elv303   |
| Elvis (4.00 Italian)             |  Yes  |  Yes  |  Yes  |  Yes  | elv400i  |
| Elvis (5.00 Spanish)             |  Yes  |  Yes  |  Yes  |  Yes  | elvisl   |
| Elvis (5.00 French)              |  Yes  |  Yes  |  Yes  |  Yes  | elvisf   |
| Elvis (5.00 Italian)             |  Yes  |  Yes  |  Yes  |  Yes  | elvisi   |
| Elvis (4.00)                     |  Yes  |  Yes  |  Yes  |  Yes  | elv400   |
| Elvis (4.00 German)              |  Yes  |  Yes  |  Yes  |  Yes  | elv400g  |
| Elvis (4.00 Spanish)             |  Yes  |  Yes  |  Yes  |  Yes  | elv400l  |
| Elvis (4.00 French)              |  Yes  |  Yes  |  Yes  |  Yes  | elv400f  |
| Embryon (7-digit conversion rev. |  Yes  |  Yes  |  Yes  |  Yes  | embryonc |
| Embryon                          |  Yes  |  Yes  |  Yes  |  Yes  | embryon  |
| Embryon (7-digit conversion rev. |  Yes  |  Yes  |  Yes  |  Yes  | embryonb |
| Embryon (Free Play)              |  Yes  |  Yes  |  Yes  |  Yes  | embryona |
| Embryon (7-digit conversion rev. |  Yes  |  Yes  |  Yes  |  Yes  | embryond |
| Embryon (7-digit conversion rev. |  Yes  |  Yes  |  Yes  |  Yes  | embryone |
| Empire Strikes Back, The         |  Yes  |  Yes  |  Yes  |  Yes  | empsback |
| Eros One                         |  Yes  |  Yes  |  Yes  |  Yes  | erosone  |
| Escape                           |  Yes  |  Yes  |  Yes  |  Yes  | escape   |
| Escape from the Lost World       |  Yes  |  Yes  |  Yes  |  Yes  | esclwrld |
| Escape from the Lost World (Germa|  Yes  |  Yes  |  Yes  |  Yes  | esclwrlg |
| Evel Knievel                     |  Yes  |  Yes  |  Yes  |  Yes  | evelknie |
| Evel Knievel (Free Play+)        |  Yes  |  Yes  |  Yes  |  Yes  | evelknic |
| Evel Knievel (Free Play)         |  Yes  |  Yes  |  Yes  |  Yes  | evelknib |
| Evil Fight                       |  Yes  |  Yes  |  Yes  |  Yes  | evlfight |
| Excalibur (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | excalbfp |
| Excalibur                        |  Yes  |  Yes  | Yes(2)|  Yes  | excaliba |
| Excalibur (French)               |  Yes  |  Yes  | Yes(2)|  Yes  | excalibr |
| Excalibur (French Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | excalffp |
| Excalibur (German Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | excalgfp |
| Excalibur (German)               |  Yes  |  Yes  | Yes(2)|  Yes  | excalibg |
| F-14 Tomcat (P-5 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | f14_p5   |
| F-14 Tomcat (L-1)                |  Yes  |  Yes  | Yes(2)|  Yes  | f14_l1   |
| F-14 Tomcat (P-4 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | f14_p4   |
| F-14 Tomcat (P-3 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | f14_p3   |
| F1 Grand Prix                    |  Yes  |  Yes  |  Yes  |  Yes  | f1gp     |
| FJ Holden                        |  Yes  |  Yes  |  Yes  |  Yes  | fjholden |
| Faeton                           |  Yes  |  Yes  |  Yes  |  Yes  | faeton   |
| Family Fun!                      |  Yes  |  Yes  | Yes(2)|  Yes  | famlyfun |
| Family Guy (V4.00 English, German|  Yes  |  Yes  |  Yes  |  Yes  | fg_400ag |
| Family Guy (V3.00 English, Italia|  Yes  |  Yes  |  Yes  |  Yes  | fg_300ai |
| Family Guy (V4.00 English)       |  Yes  |  Yes  |  Yes  |  Yes  | fg_400a  |
| Family Guy (V7.00 English, French|  Yes  |  Yes  |  Yes  |  Yes  | fg_700af |
| Family Guy (V11.0 English, Italia|  Yes  |  Yes  |  Yes  |  Yes  | fg_1100ai |
| Family Guy (V12.0 English, German|  Yes  |  Yes  |  Yes  |  Yes  | fg_1200ag |
| Family Guy (V11.0 English, Spanis|  Yes  |  Yes  |  Yes  |  Yes  | fg_1100al |
| Family Guy (V12.0 English, French|  Yes  |  Yes  |  Yes  |  Yes  | fg_1200af |
| Family Guy (V11.0 English, French|  Yes  |  Yes  |  Yes  |  Yes  | fg_1100af |
| Family Guy (V11.0 English, German|  Yes  |  Yes  |  Yes  |  Yes  | fg_1100ag |
| Family Guy (V2.00 English)       |  Yes  |  Yes  |  Yes  |  Yes  | fg_200a  |
| Family Guy (V12.0 English, Spanis|  Yes  |  Yes  |  Yes  |  Yes  | fg_1200al |
| Family Guy (V7.00 English, Spanis|  Yes  |  Yes  |  Yes  |  Yes  | fg_700al |
| Family Guy (V12.0 English, Italia|  Yes  |  Yes  |  Yes  |  Yes  | fg_1200ai |
| Family Guy (V10.00 English, Spani|  Yes  |  Yes  |  Yes  |  Yes  | fg_1000al |
| Family Guy (V8.00 English, Spanis|  Yes  |  Yes  |  Yes  |  Yes  | fg_800al |
| Family Guy (V10.00 English, Itali|  Yes  |  Yes  |  Yes  |  Yes  | fg_1000ai |
| Family Guy (V10.00 English, Germa|  Yes  |  Yes  |  Yes  |  Yes  | fg_1000ag |
| Family Guy (V10.00 English, Frenc|  Yes  |  Yes  |  Yes  |  Yes  | fg_1000af |
| Farfalla (Free Play)             |  Yes  |  Yes  |  Yes  |  Yes  | farffp   |
| Farfalla                         |  Yes  |  Yes  |  Yes  |  Yes  | farfalla |
| Farfalla (Italian Speech)        |  Yes  |  Yes  |  Yes  |  Yes  | farfalli |
| Farfalla (German Speech)         |  Yes  |  Yes  |  Yes  |  Yes  | farfallg |
| Farfalla (German Speech, Free Pla|  Yes  |  Yes  |  Yes  |  Yes  | farfgfp  |
| Farfalla (Italian Speech, Free Pl|  Yes  |  Yes  |  Yes  |  Yes  | farfifp  |
| Fathom (Free Play)               |  Yes  |  Yes  |  Yes  |  Yes  | fathoma  |
| Fathom                           |  Yes  |  Yes  |  Yes  |  Yes  | fathom   |
| Fathom (modified rules rev. 5)   |  Yes  |  Yes  |  Yes  |  Yes  | fathomb  |
| Fire Action                      |  Yes  |  Yes  | Yes(2)|  Yes  | fireact  |
| Fire Action Deluxe               |  Yes  |  Yes  | Yes(2)|  Yes  | fireactd |
| Fire Mountain                    |  Yes  |  Yes  |Partial|  Yes  | firemntn |
| Fire! (L-3)                      |  Yes  |  Yes  | Yes(2)|  Yes  | fire_l3  |
| Fire! (L-2)                      |  Yes  |  Yes  | Yes(2)|  Yes  | fire_l2  |
| Fireball Classic                 |  Yes  |  Yes  |  Yes  |  Yes  | fbclass  |
| Fireball Classic (Free Play)     |  Yes  |  Yes  |  Yes  |  Yes  | fbclassa |
| Fireball II (Free Play)          |  Yes  |  Yes  |  Yes  |  Yes  | fball_ia |
| Fireball II                      |  Yes  |  Yes  |  Yes  |  Yes  | fball_ii |
| Firepower (Sys.7/6-digit /10 Scor|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_e7 |
| Firepower (L-6)                  |  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_l6 |
| Firepower (Sys.6/6-digit /10 Scor|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_d6 |
| Firepower (Sys.7/7-digit Custom r|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_d7 |
| Firepower (Sys.6/7-digit Custom r|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_c6 |
| Firepower (Sys.6/7-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_b6 |
| Firepower (L-2)                  |  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_l2 |
| Firepower (Sys.7/7-digit Custom r|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_c7 |
| Firepower (Sys.6/6-digit Custom r|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_a6 |
| Firepower (Sys.7/7-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_b7 |
| Firepower (Sys.7/6-digit Custom r|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_a7 |
| Firepower (T-6 Ted Estes)        |  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_t6 |
| Firepower II (L-2)               |  Yes  |  Yes  | Yes(2)|  Yes  | fpwr2_l2 |
| Fish Tales (L-3)                 |  Yes  |  Yes  | Yes(2)|  Yes  | ft_l3    |
| Fish Tales (L-4)                 |  Yes  |  Yes  | Yes(2)|  Yes  | ft_l4    |
| Fish Tales (L-5 Text size patch) |  Yes  |  Yes  | Yes(2)|  Yes  | ft_l5p   |
| Fish Tales (P-4 Prototype)       |  Yes  |  Yes  | Yes(2)|  Yes  | ft_p4    |
| Fish Tales (P-2 Prototype)       |  Yes  |  Yes  | Yes(2)|  Yes  | ft_p2    |
| Fish Tales (L-5)                 |  Yes  |  Yes  | Yes(2)|  Yes  | ft_l5    |
| Fish Tales (D-6 Text size patch L|  Yes  |  Yes  | Yes(2)|  Yes  | ft_d6    |
| Fish Tales (D-5 LED Ghost Fix)   |  Yes  |  Yes  | Yes(2)|  Yes  | ft_d5    |
| Fish Tales (P-5 LED Ghost Fix)   |  Yes  |  Yes  | Yes(2)|  Yes  | ft_p5    |
| Flame of Athens                  |  Yes  |  Yes  |  Yes  |  Yes  | foathens |
| Flash (L-2)                      |  Yes  |  Yes  | Yes(2)|  Yes  | flash_l2 |
| Flash (L-1)                      |  Yes  |  Yes  | Yes(2)|  Yes  | flash_l1 |
| Flash (T-1 Ted Estes)            |  Yes  |  Yes  | Yes(2)|  Yes  | flash_t1 |
| Flash Dragon                     |  Yes  |  Yes  |  Yes  |  Yes  | fldragon |
| Flash Gordon (Vocalizer Sound)   |  Yes  |  Yes  |  Yes  |  Yes  | flashgdv |
| Flash Gordon (Vocalizer Sound Fre|  Yes  |  Yes  |  Yes  |  Yes  | flashgva |
| Flash Gordon (French Free Play)  |  Yes  |  Yes  |  Yes  |  Yes  | flashgfa |
| Flash Gordon (French Vocalizer So|  Yes  |  Yes  |  Yes  |  Yes  | flashgvffp |
| Flash Gordon                     |  Yes  |  Yes  |  Yes  |  Yes  | flashgdn |
| Flash Gordon (French Vocalizer So|  Yes  |  Yes  |  Yes  |  Yes  | flashgvf |
| Flash Gordon (Free Play)         |  Yes  |  Yes  |  Yes  |  Yes  | flashgda |
| Flash Gordon (Prototype rev. 2)  |  Yes  |  Yes  |  Yes  |  Yes  | flashgp2 |
| Flash Gordon (Prototype rev. 1)  |  Yes  |  Yes  |  Yes  |  Yes  | flashgdp |
| Flash Gordon (French)            |  Yes  |  Yes  |  Yes  |  Yes  | flashgdf |
| Flicker (Prototype)              |  Yes  |  Yes  |  Yes  |  Yes  | flicker  |
| Flight 2000                      |  Yes  |  Yes  | Yes(2)|  Yes  | flight2k |
| Flight 2000 (Free Play)          |  Yes  |  Yes  | Yes(2)|  Yes  | flightfp |
| Flintstones, The (DX-4 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | fs_dx4   |
| Flintstones, The (LX-4)          |  Yes  |  Yes  | Yes(2)|  Yes  | fs_lx4   |
| Flintstones, The (DX-5, SP-2 LED |  Yes  |  Yes  | Yes(2)|  Yes  | fs_sp2d  |
| Flintstones, The (LX-5, SP-2)    |  Yes  |  Yes  | Yes(2)|  Yes  | fs_sp2   |
| Flintstones, The (DX-5 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | fs_dx5   |
| Flintstones, The (LX-2)          |  Yes  |  Yes  | Yes(2)|  Yes  | fs_lx2   |
| Flintstones, The (DX-2 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | fs_dx2   |
| Flintstones, The (LX-5)          |  Yes  |  Yes  | Yes(2)|  Yes  | fs_lx5   |
| Flipper Football (1.01)          |  Yes  |  Yes  |  Yes  |  Yes  | ffv101   |
| Flipper Football (1.04)          |  Yes  |  Yes  |  Yes  |  Yes  | ffv104   |
| Force                            |  Yes  |  Yes  |   No  |  Yes  | force    |
| Force II (7-digit conversion)    |  Yes  |  Yes  | Yes(2)|  Yes  | forceii7 |
| Force II                         |  Yes  |  Yes  | Yes(2)|  Yes  | forceii  |
| Foxy Lady                        |  Yes  |  Yes  |  Yes  |  Yes  | foxylady |
| Frankenstein, Mary Shelley's (Ger|  Yes  |  Yes  |  Yes  |  Yes  | frankstg |
| Frankenstein, Mary Shelley's     |  Yes  |  Yes  |  Yes  |  Yes  | frankst  |
| Freddy: A Nightmare on Elm Street|  Yes  |  Yes  | Yes(2)|  Yes  | freddy   |
| Freddy: A Nightmare on Elm Street|  Yes  |  Yes  | Yes(2)|  Yes  | freddy4  |
| Free Fall (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | freefafp |
| Free Fall                        |  Yes  |  Yes  | Yes(2)|  Yes  | freefall |
| Freedom                          |  Yes  |  Yes  |  Yes  |  Yes  | freedom  |
| Freedom (Free Play+ rev. 07)     |  Yes  |  Yes  |  Yes  |  Yes  | freedoma |
| Freedom (Free Play+ rev. 20)     |  Yes  |  Yes  |  Yes  |  Yes  | freedomb |
| Frontier (Free Play)             |  Yes  |  Yes  |  Yes  |  Yes  | frontiea |
| Frontier (Gate Fix)              |  Yes  |  Yes  |  Yes  |  Yes  | frontieg |
| Frontier                         |  Yes  |  Yes  |  Yes  |  Yes  | frontier |
| Funhouse (FreeWPC 0.91)          |  Yes  |  Yes  | Yes(2)|  Yes  | fh_f91   |
| Funhouse (9.05H)                 |  Yes  |  Yes  | Yes(2)|  Yes  | fh_905h  |
| Funhouse (D-9, SL-3 German LED Gh|  Yes  |  Yes  | Yes(2)|  Yes  | fh_d9b   |
| Funhouse (L-9, SL-3)             |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l9    |
| Funhouse (D-5 LED Ghost Fix)     |  Yes  |  Yes  | Yes(2)|  Yes  | fh_d5    |
| Funhouse (L-5)                   |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l5    |
| Funhouse (D-4 LED Ghost Fix)     |  Yes  |  Yes  | Yes(2)|  Yes  | fh_d4    |
| Funhouse (L-4)                   |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l4    |
| Funhouse (L-3)                   |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l3    |
| Funhouse (9.06H Coin Play)       |  Yes  |  Yes  | Yes(2)|  Yes  | fh_906h  |
| Funhouse (L-2)                   |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l2    |
| Funhouse (D-9, SL-3 LED Ghost Fix|  Yes  |  Yes  | Yes(2)|  Yes  | fh_d9    |
| Funhouse (L-9, SL-3 Improved Germ|  Yes  |  Yes  | Yes(2)|  Yes  | fh_l9b   |
| Funhouse (D-3 LED Ghost Fix)     |  Yes  |  Yes  | Yes(2)|  Yes  | fh_d3    |
| Future Queen                     |  Yes  |  Yes  |  Yes  |  Yes  | futrquen |
| Future Spa (7-digit conversion)  |  Yes  |  Yes  |  Yes  |  Yes  | futurspb |
| Future Spa                       |  Yes  |  Yes  |  Yes  |  Yes  | futurspa |
| Future World                     |  Yes  |  Yes  |  Yes  |  Yes  | futurwld |
| Galaxy (7-digit bootleg)         |  Yes  |  Yes  | Yes(2)|  Yes  | galaxyb  |
| Galaxy (Planet Skillshot)        |  Yes  |  Yes  | Yes(2)|  Yes  | galaxyps |
| Galaxy                           |  Yes  |  Yes  | Yes(2)|  Yes  | galaxy   |
| Galaxy (Free Play)               |  Yes  |  Yes  | Yes(2)|  Yes  | galaxyfp |
| Galaxy Play                      |  Yes  |  Yes  |  Yes  |  Yes  | glxplay  |
| Galaxy Play 2                    |  Yes  |  Yes  |  Yes  |  Yes  | glxplay2 |
| Gamatron (Sonic)                 |  Yes  |  Yes  |  Yes  |  Yes  | gamatros |
| Gamatron                         |  Yes  |  Yes  | Yes(2)|  Yes  | gamatron |
| Game Show (LU-4 Europe)          |  Yes  |  Yes  | Yes(2)|  Yes  | gs_lu4   |
| Game Show (LG-6 German)          |  Yes  |  Yes  | Yes(2)|  Yes  | gs_lg6   |
| Game Show (LU-3 Europe)          |  Yes  |  Yes  | Yes(2)|  Yes  | gs_lu3   |
| Game Show (LA-3)                 |  Yes  |  Yes  | Yes(2)|  Yes  | gs_la3   |
| Games, The                       |  Yes  |  Yes  | Yes(2)|  Yes  | thegames |
| Gemini 2000                      |  Yes  |  Yes  | Yes(2)|  Yes  | gemini   |
| Gemini 2000 (alternate set)      |  Yes  |  Yes  | Yes(2)|  Yes  | gemini1  |
| Genesis (German Free Play)       |  Yes  |  Yes  | Yes(2)|  Yes  | genesgfp |
| Genesis (French)                 |  Yes  |  Yes  | Yes(2)|  Yes  | genesisf |
| Genesis (German)                 |  Yes  |  Yes  | Yes(2)|  Yes  | genesisg |
| Genesis (Free Play)              |  Yes  |  Yes  | Yes(2)|  Yes  | genesifp |
| Genesis                          |  Yes  |  Yes  | Yes(2)|  Yes  | genesis  |
| Genesis (French Free Play)       |  Yes  |  Yes  | Yes(2)|  Yes  | genesffp |
| Genie                            |  Yes  |  Yes  | Yes(2)|  Yes  | genie    |
| Getaway: High Speed II, The (D-1 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_d1    |
| Getaway: High Speed II, The (L-5)|  Yes  |  Yes  | Yes(2)|  Yes  | gw_l5    |
| Getaway: High Speed II, The (P-B |  Yes  |  Yes  | Yes(2)|  Yes  | gw_pb    |
| Getaway: High Speed II, The (D-5 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_d5    |
| Getaway: High Speed II, The (L-2)|  Yes  |  Yes  | Yes(2)|  Yes  | gw_l2    |
| Getaway: High Speed II, The (L-5C|  Yes  |  Yes  | Yes(2)|  Yes  | gw_l5c   |
| Getaway: High Speed II, The (P-7 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_p7    |
| Getaway: High Speed II, The (L-1)|  Yes  |  Yes  | Yes(2)|  Yes  | gw_l1    |
| Getaway: High Speed II, The (P-8 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_p8    |
| Getaway: High Speed II, The (D-2 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_d2    |
| Getaway: High Speed II, The (P-D |  Yes  |  Yes  | Yes(2)|  Yes  | gw_pd    |
| Getaway: High Speed II, The (L-3)|  Yes  |  Yes  | Yes(2)|  Yes  | gw_l3    |
| Getaway: High Speed II, The (D-3 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_d3    |
| Getaway: High Speed II, The (P-C |  Yes  |  Yes  | Yes(2)|  Yes  | gw_pc    |
| Gilligan's Island (D-4 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | gi_d4    |
| Gilligan's Island (L-8)          |  Yes  |  Yes  | Yes(2)|  Yes  | gi_l8    |
| Gilligan's Island (L-4)          |  Yes  |  Yes  | Yes(2)|  Yes  | gi_l4    |
| Gilligan's Island (L-3)          |  Yes  |  Yes  | Yes(2)|  Yes  | gi_l3    |
| Gilligan's Island (D-9 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | gi_d9    |
| Gilligan's Island (L-9)          |  Yes  |  Yes  | Yes(2)|  Yes  | gi_l9    |
| Gilligan's Island (D-3 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | gi_d3    |
| Gilligan's Island (L-6)          |  Yes  |  Yes  | Yes(2)|  Yes  | gi_l6    |
| Gilligan's Island (D-6 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | gi_d6    |
| Gladiators                       |  Yes  |  Yes  | Yes(2)|  Yes  | gladiatr |
| Global Warfare                   |  Yes  |  Yes  | Yes(2)|  Yes  | gwarfare |
| Godzilla (0.90 Prototype)        |  Yes  |  Yes  |  Yes  |  Yes  | godz_090 |
| Godzilla (2.05)                  |  Yes  |  Yes  |  Yes  |  Yes  | godzilla |
| Godzilla (1.00)                  |  Yes  |  Yes  |  Yes  |  Yes  | godz_100 |
| Goin' Nuts                       |  Yes  |  Yes  | Yes(2)|  Yes  | goinnuts |
| Gold Ball                        |  Yes  |  Yes  |  Yes  |  Yes  | goldball |
| Gold Ball (6/7-digit alternate se|  Yes  |  Yes  |  Yes  |  Yes  | goldbalc |
| Gold Ball (7-digit conversion)   |  Yes  |  Yes  |  Yes  |  Yes  | goldbalb |
| Gold Ball (alternate set)        |  Yes  |  Yes  |  Yes  |  Yes  | goldbaln |
| Gold Mine (Shuffle) (L-2)        |  Yes  |  Yes  | Yes(2)|  Yes  | gmine_l2 |
| Gold Wings (Free Play)           |  Yes  |  Yes  | Yes(2)|  Yes  | goldwgfp |
| Gold Wings                       |  Yes  |  Yes  | Yes(2)|  Yes  | goldwing |
| Gold Wings (German Free Play)    |  Yes  |  Yes  | Yes(2)|  Yes  | gldwggfp |
| Gold Wings (German)              |  Yes  |  Yes  | Yes(2)|  Yes  | gldwingg |
| Gold Wings (French)              |  Yes  |  Yes  | Yes(2)|  Yes  | gldwingf |
| Gold Wings (French Free Play)    |  Yes  |  Yes  | Yes(2)|  Yes  | gldwgffp |
| Golden Cue                       |  Yes  |  Yes  |  Yes  |  Yes  | goldcue  |
| Golden Game (Bingo)              |   No  |  Yes  |  Yes  |  Yes  | goldgame |
| Golden Game Stake 6/10 (Bingo)   |   No  |  Yes  |  Yes  |  Yes  | goldgam2 |
| Goldeneye                        |  Yes  |  Yes  |  Yes  |  Yes  | gldneye  |
| Goofy Hoops                      |   No  |  Yes  |  Yes  |  Yes  | ghv101   |
| Gorgar (C-1 Lane Change MOD)     |  Yes  |  Yes  | Yes(2)|  Yes  | grgar_c1 |
| Gorgar (T-1 Ted Estes)           |  Yes  |  Yes  | Yes(2)|  Yes  | grgar_t1 |
| Gorgar (L-1)                     |  Yes  |  Yes  | Yes(2)|  Yes  | grgar_l1 |
| Gork                             |  Yes  |  Yes  | Yes(2)|  Yes  | gork     |
| Grand Lizard (L-4)               |  Yes  |  Yes  | Yes(2)|  Yes  | grand_l4 |
| Grand Lizard (L-3)               |  Yes  |  Yes  | Yes(2)|  Yes  | grand_l3 |
| Grand Prix (3.01)                |  Yes  |  Yes  |  Yes  |  Yes  | gpr301   |
| Grand Prix (4.50 Spanish)        |  Yes  |  Yes  |  Yes  |  Yes  | gprixl   |
| Grand Prix (4.50 German)         |  Yes  |  Yes  |  Yes  |  Yes  | gprixg   |
| Grand Prix (4.00 Italian)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr400i  |
| Grand Prix (3.50 French)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr350f  |
| Grand Prix (3.52)                |  Yes  |  Yes  |  Yes  |  Yes  | gpr352   |
| Grand Prix (3.52 German)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr352g  |
| Grand Prix (4.50 French)         |  Yes  |  Yes  |  Yes  |  Yes  | gprixf   |
| Grand Prix (3.50 Spanish)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr350l  |
| Grand Prix (3.50 German)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr350g  |
| Grand Prix (4.50)                |  Yes  |  Yes  |  Yes  |  Yes  | gprix    |
| Grand Prix (3.52 Spanish)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr352l  |
| Grand Prix (3.50 Italian)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr350i  |
| Grand Prix (4.50 Italian)        |  Yes  |  Yes  |  Yes  |  Yes  | gprixi   |
| Grand Prix (4.00)                |  Yes  |  Yes  |  Yes  |  Yes  | gpr400   |
| Grand Prix (3.40)                |  Yes  |  Yes  |  Yes  |  Yes  | gpr340   |
| Grand Prix (3.52 French)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr352f  |
| Grand Prix (3.40 German)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr340g  |
| Grand Prix (3.40 Spanish)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr340l  |
| Grand Prix (3.40 French)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr340f  |
| Grand Prix (3.40 Italian)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr340i  |
| Grand Prix (4.00 French)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr400f  |
| Grand Prix (3.01 German)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr301g  |
| Grand Prix (3.01 Spanish)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr301l  |
| Grand Prix (3.01 French)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr301f  |
| Grand Prix (3.01 Italian)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr301i  |
| Grand Prix (3.52 Italian)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr352i  |
| Grand Prix (4.00 German)         |  Yes  |  Yes  |  Yes  |  Yes  | gpr400g  |
| Grand Prix (4.00 Spanish)        |  Yes  |  Yes  |  Yes  |  Yes  | gpr400l  |
| Grand Prix (3.50)                |  Yes  |  Yes  |  Yes  |  Yes  | gpr350   |
| Grand Slam (Free Play)           |  Yes  |  Yes  |  Yes  |  Yes  | granslaa |
| Grand Slam (4 Players Free Play) |  Yes  |  Yes  |  Yes  |  Yes  | gransl4a |
| Grand Slam                       |  Yes  |  Yes  |  Yes  |  Yes  | granslam |
| Grand Slam (4 Players)           |  Yes  |  Yes  |  Yes  |  Yes  | gransla4 |
| Granny and the Gators (Video/Pinb|  Yes  |  Yes  |  Yes  |  Yes  | granny   |
